/* STM32F103C8

1: VBAT
2: PC13/TAMPER-RTC
3: PC14/OSC32_IN
4: PC15/OSC32_OUT
5: PD00/OSC_IN
6: PD01/OSC_OUT
7: NRST
8: VSSA
9: VDDA
10: PA00/WKUP/USART2_CTS/ADC12_IN0/TIM2_CH1_ETR
11: PA01/USART2_RTS/ADC12_IN1/TIM2_CH2
12: PA02/USART2_TX/ADC12_IN2/TIM2_CH3
13: PA03/USART2_RX/ADC12_IN3/TIM2_CH4
14: PA04/SPI1_NSS/USART2_CK/ADC12_IN4/DAC_OUT1
15: PA05/SPI1_SCK/ADC12_IN5/DAC_OUT2
16: PA06/SPI1_MISO/ADC12_IN6/TIM3_CH1/TIM1_BKIN
17: PA07/SPI1_MOSI/ADC12_IN7/TIM3_CH2/TIM1_CH1N
18: PB00/ADC12_IN8/TIM3_CH3/TIM1_CH2N
19: PB01/ADC12_IN9/TIM3_CH4/TIM1_CH3N
20: PB02/BOOT1
21: PB10/I2C2_SCL/USART3_TX/TIM2_CH3
22: PB11/I2C2_SDA/USART3_RX/TIM2_CH4
23: VSS_1
24: VDD_1
25: PB12/SPI2_NSS/I2C2_SMBAI/USART3_CK/TIM1_BKIN
26: PB13/SPI2_SCK/USART3_CTS/TIM1_CH1N
27: PB14/SPI2_MISO/USART3_RTS/TIM1_CH2N
28: PB15/SPI2_MOSI/TIM1_CH3N
29: PA08/USART1_CK/TIM1_CH1/MCO
30: PA09/USART1_TX/TIM1_CH2
31: PA10/USART1_RX/TIM1_CH3
32: PA11/USART1_CTS/USBDM/CAN_RX/TIM1_CH4
33: PA12/USART1_RTS/USBDP/CAN_TX/TIM1_ETR
34: PA13/JTMS/SWDIO
35: VSS_2
36: VDD_2
37: PA14/JTCK/SWCLK
38: PA15/JTDI/SPI1_NSS
39: PB03/JTDO/SPI1_SCK/TIM2_CH2
40: PB04/JNTRST/SPI1_MISO/TIM3_CH1
41: PB05/I2C1_SMBAI/SPI1_MOSI/TIM3_CH2
42: PB06/I2C1_SCL/TIM4_CH1/USART1_TX
43: PB07/I2C1_SDA/TIM4_CH2/USART1_RX
44: BOOT0
45: PB08/TIM4_CH3/I2C1_SCL/CAN_RX
46: PB09/TIM4_CH4/I2C1_SDA/CAN_TX
47: VSS_3
48: VDD_3
 */
